Texture,EC,pH,OM,P,K,Sp,Aspect,Elevation,Slope,CVI,EVI,NDVI,SI1,SI2,SI3,SI4,SI5,SI6,SI7,SARVV,SARVH,TWI
Loam,0.57,8,0.4,12.45,76,32,90,131,1.06831,2.94441,0.381664,0.317489,0.192168,0.20962,0.296448,0.45654,0.402205,0.511961,0.639277,-8.488977,-15.847992,0.298231
Loam,0.75,8,1.15,3.64,98,46,330.133,122,2.13809,2.19819,0.391243,0.344294,0.181019,0.19792,0.279986,0.4594,0.498877,0.506518,0.67636,-7.163118,-15.447044,-17.02516
Loam,0.82,8,0.87,3.6,153,32,48.7982,99,1.40775,2.73455,0.360726,0.330471,0.187973,0.220905,0.256184,0.465686,0.449653,0.444705,0.410518,-7.875657,-15.985669,-14.29921
Loam,0.9,8.7,0.77,2.38,246,34,0,118,1.85433,2.77518,0.27234,0.230769,0.116115,0.234821,0.332311,0.454718,0.409036,0.513749,0.600761,-8.233532,-16.199184,-16.20185
Loam,0.94,8,0.63,6.9,63,34,0,81,4.62737,2.96288,0.440921,0.371486,0.172457,0.191708,0.271306,0.448142,0.489471,0.504088,0.658287,-8.448012,-16.169887,-14.89581
Loam,0.97,8,0.68,4.34,44,34,0,100,0.92741,2.02608,0.510235,0.418618,0.167518,0.185972,0.263572,0.468141,0.407061,0.5203,0.665033,-9.118293,-14.799029,-15.74428
Loam,1,8.3,0.44,2.46,108,34,90,127,3.18975,2.48973,0.352158,0.340821,0.151979,0.101589,0.371494,0.441455,0.441017,0.543314,0.568301,-16.326258,-20.190278,-16.83932
Loam,1,8.5,0.63,2,97,32,131.054,122,1.41191,2.14101,0.429651,0.357323,0.176329,0.190449,0.269339,0.446556,0.485218,0.50147,0.6687,-9.389901,-17.863988,-16.4953
Loam,1.09,8,0.77,6.9,201,40,228.711,89,1.40531,2.92834,0.369021,0.359671,0.144334,0.155655,0.220257,0.45664,0.390661,0.597794,0.628007,-8.576617,-14.772123,-16.81364
Loam,1.1,8.3,0.56,4.21,174,34,270,115,1.06142,2.13319,0.305939,0.27143,0.182078,0.196627,0.278773,0.415839,0.455951,0.471532,0.669212,-7.997588,-14.596192,-0.212595
Loam,1.11,8,0.49,7.3,73,34,12.7794,73,4.74437,2.57211,0.340817,0.351664,0.187339,0.212245,0.200563,0.371239,0.423886,0.425016,0.582796,-9.768641,-14.190734,-0.61806
Loam,1.15,8.5,0.49,1.8,189,36,311.388,77,1.40255,2.01184,0.329583,0.284934,0.198841,0.219512,0.210685,0.464348,0.511036,0.521017,0.658039,-9.989424,-15.665803,-12.53521
Loam,1.2,8.1,0.76,2.88,138,32,286.239,117,3.31307,2.87486,0.354565,0.324629,0.152153,0.27527,0.292762,0.492569,0.552584,0.563559,0.63101,-7.561564,-14.223615,-17.48221
Loam,1.2,8.7,0.35,2.05,129,32,180,110,0.92741,2.99613,0.375627,0.338787,0.178575,0.196699,0.278178,0.442613,0.484637,0.486932,0.646858,-9.636845,-17.028355,-15.74428
Loam,1.2,8,0.56,3.8,49,34,180,118,0.92741,2.76705,0.318673,0.381353,0.150697,0.281289,0.398823,0.519505,0.484285,0.592075,0.624673,-13.401427,-18.212262,-16.20185
Loam,1.23,8.2,0.49,2.8,127,38,180,89,2.78029,2.17572,0.453062,0.391356,0.165365,0.180011,0.254613,0.443638,0.479614,0.490551,0.673429,-7.984412,-13.944321,-16.31309
Sandy Loam,1.26,8.1,0.49,11.2,60,30,180,95,0.92741,2.38456,0.458047,0.403724,0.164908,0.183112,0.258961,0.469856,0.504064,0.51695,0.610747,-9.761621,-14.735407,-1.311207
Sandy Loam,1.27,8.3,0.35,7.5,57,24,48.6151,94,2.8036,2.56147,0.378383,0.361965,0.194494,0.3363,0.27867,0.450511,0.431953,0.537882,0.5923,-10.721624,-22.577907,-15.52879
Loam,1.27,8.4,0.7,11.8,116,40,270,78,2.11023,2.43975,0.367466,0.347085,0.137807,0.174462,0.231984,0.495235,0.490511,0.594785,0.533558,-17.197211,-18.316603,0.991378
Loam,1.33,8.3,0.49,9.7,44,30,270,78,1.05372,2.27057,0.458143,0.406662,0.164856,0.184102,0.26039,0.468614,0.404215,0.51251,0.69751,-9.215842,-15.146022,-13.31838
Loam,1.36,8.1,0.63,11.2,134,36,180,78,0.92741,2.77669,0.341866,0.313151,0.189553,0.123354,0.260738,0.466022,0.438955,0.546929,0.623639,-10.524521,-13.366128,0.075087
Loam,1.4,8.3,0.84,4.46,79,32,90,113,1.06462,2.16577,0.349671,0.30912,0.196248,0.212481,0.300829,0.470716,0.513619,0.515485,0.661121,-7.460252,-15.209943,-16.20185
Loam,1.49,8.2,0.35,1.8,79,36,48.7613,87,1.40672,2.15172,0.504902,0.415052,0.165876,0.182672,0.258558,0.464371,0.401021,0.519295,0.681922,-9.08245,-19.242672,0.480552
Loam,1.5,8.1,0.78,2.94,141,36,180,120,1.85433,2.99318,0.329392,0.275419,0.108724,0.234887,0.3325,0.490522,0.540795,0.556944,0.671715,-11.566296,-15.868888,1.253742
Loam,1.55,8,0.98,23.3,111,36,209.675,85,2.134,2.28078,0.475228,0.452711,0.136215,0.150708,0.21344,0.411576,0.440338,0.447308,0.693152,-7.683594,-15.153373,-15.07
Loam,1.56,8.2,0.77,15.9,43,36,20.7963,83,2.97372,2.11409,0.483118,0.403942,0.172526,0.190118,0.269064,0.473518,0.512222,0.52079,0.669684,-9.556526,-16.521493,3.095512
Loam,1.57,8,0.91,12.4,74,40,150.4,78,2.13241,2.07608,0.3168,0.28305,0.192037,0.1102,0.297677,0.447215,0.490942,0.499305,0.661258,-7.386546,-17.996846,-15.17375
Loam,1.6,8.2,0.7,2.44,163,40,150.227,100,2.13609,2.36915,0.367089,0.332744,0.185701,0.104963,0.29039,0.477788,0.41658,0.52352,0.601945,-9.970278,-15.890377,-15.05113
Loam,1.6,8,0.78,2.44,131,36,270,100,1.06332,2.13781,0.407344,0.355006,0.180228,0.198531,0.280771,0.463937,0.504291,0.51182,0.672351,-9.926273,-15.975028,0.298231
Loam,1.6,8.3,0.7,9.5,79,45,311.267,87,1.40591,2.30493,0.492054,0.446435,0.148407,0.16262,0.230206,0.440927,0.471777,0.475579,0.687925,-7.790409,-14.828824,-15.39782
